Name,Dataset,xsec [pb],xsec unc [pb],Ntuple List,Pileup File,Nevents,SumW,SumW2,Neff,Luminosity [/fb],TLatexName
QCDPt1000to1400TuneCP513TeVpythia8,/QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,7.475,.0008059,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt1000to1400TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt1000to1400TuneCP513TeVpythia8.root,19631814,19631814.00000000000000000000,19631814.00000000000000000000,19631814.00000000000000000000,"2,626.33",QCD (1000 GeV<#hat{p}_{T}<1400 GeV)
QCDPt1400to1800TuneCP513TeVpythia8,/QCD_Pt_1400to1800_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.6483,.0001299,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt1400to1800TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt1400to1800TuneCP513TeVpythia8.root,5685270,5685270.00000000000000000000,5685270.00000000000000000000,5685270.00000000000000000000,"8,769.50",QCD (1400 GeV<#hat{p}_{T}<1800 GeV)
QCDPt170to300TuneCP513TeVpythia8,/QCD_Pt_170to300_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,103500.,9.267,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt170to300TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt170to300TuneCP513TeVpythia8.root,29829920,29829920.00000000000000000000,29829920.00000000000000000000,29829920.00000000000000000000,0.29,QCD (170 GeV<#hat{p}_{T}<300 GeV)
QCDPt1800to2400TuneCP513TeVpythia8,/QCD_Pt_1800to2400_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.08744,.00002523,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt1800to2400TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt1800to2400TuneCP513TeVpythia8.root,2923941,2923941.00000000000000000000,2923941.00000000000000000000,2923941.00000000000000000000,"33,439.40",QCD (1800 GeV<#hat{p}_{T}<2400 GeV)
QCDPt2400to3200TuneCP513TeVpythia8,/QCD_Pt_2400to3200_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.005232,.000001895,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt2400to3200TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt2400to3200TuneCP513TeVpythia8.root,1910526,1910526.00000000000000000000,1910526.00000000000000000000,1910526.00000000000000000000,"365,161.70",QCD (2400 GeV<#hat{p}_{T}<3200 GeV)
QCDPt300to470TuneCP513TeVpythia8,/QCD_Pt_300to470_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,6831.,.4619,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt300to470TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt300to470TuneCP513TeVpythia8.root,52251242,52251250.01720237731933593750,52251258.10532236099243164062,52251241.92908364534378051758,7.65,QCD (300 GeV<#hat{p}_{T}<470 GeV)
QCDPt3200toInfTuneCP513TeVpythia8,/QCD_Pt_3200toInf_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.0001351,.0000000815,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt3200toInfTuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt3200toInfTuneCP513TeVpythia8.root,757837,757837.00000000000000000000,757837.00000000000000000000,757837.00000000000000000000,"5,609,452.26",QCD (3200 GeV<#hat{p}_{T}<#infty)
QCDPt470to600TuneCP513TeVpythia8,/QCD_Pt_470to600_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,551.9,.04955,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt470to600TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt470to600TuneCP513TeVpythia8.root,27881028,27881110.45682847499847412109,27881194.92542111873626708984,27881025.98849173635244369507,50.52,QCD (470 GeV<#hat{p}_{T}<600 GeV)
QCDPt600to800TuneCP513TeVpythia8,/QCD_Pt_600to800_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,156.4,.009137,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt600to800TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt600to800TuneCP513TeVpythia8.root,66134964,66134965.56392586231231689453,66134967.13498055934906005859,66134963.99287120252847671509,422.86,QCD (600 GeV<#hat{p}_{T}<800 GeV)
QCDPt800to1000TuneCP513TeVpythia8,/QCD_Pt_800to1000_TuneCP5_13TeV_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,26.24,.001941,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDPt800to1000TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDPt800to1000TuneCP513TeVpythia8.root,39529008,39529008.00000000000000000000,39529008.00000000000000000000,39529008.00000000000000000000,"1,506.44",QCD (800 GeV<#hat{p}_{T}<1000 GeV)
