SampleName,Dataset,xsec [pb],xsec unc [pb],Ntuple List,Pileup File,Nevents,SumW,SumW2,Neff,Luminosity [/fb],TLatexName,,,
ZGTo2NuGPtG130TuneCP513TeVamcatnloFXFXpythia8,/ZGTo2NuG_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.2813,.0006584,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZGTo2NuGPtG130TuneCP513TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZGTo2NuGPtG130TuneCP513TeVamcatnloFXFXpythia8.root,1210789,642823.7322,1260461.602,327834.1443,1165.425326,Z(#rightarrow#nu#nu)+#gamma,,TRUE,TRUE
ZLLGJetsMonoPhotonPtG130TuneCP513TeVmadgraphpythia8,/ZLLGJets_MonoPhoton_PtG-130_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,0.1473,0.0001605,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZLLGJetsMonoPhotonPtG130TuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZLLGJetsMonoPhotonPtG130TuneCP513TeVmadgraphpythia8.root,585440,584033.3414,585130.9017,582937.8397,3957.487031,Z(#rightarrowl#bar{l})+#gamma,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h40p0Ptg130to6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h40p0Ptg130to6002jetsMadgraphV1,0.2026,0.0007301,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h40p0Ptg130to6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h40p0Ptg130to6002jetsMadgraphV1.root,49267,49267,49267,49267,243.1737414,,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h40p0Ptg6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h40p0Ptg6002jetsMadgraphV1,0.0007379,0.000006877,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h40p0Ptg6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h40p0Ptg6002jetsMadgraphV1.root,6745,6745,6745,6745,9140.804987,,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h42p0em7Ptg130to6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h42p0em7Ptg130to6002jetsMadgraphV1,0.2019,0.0007829,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h42p0em7Ptg130to6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h42p0em7Ptg130to6002jetsMadgraphV1.root,41764,41764,41764,41764,206.8548787,,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h42p0em7Ptg6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h42p0em7Ptg6002jetsMadgraphV1,0.0007416,0.000008181,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h42p0em7Ptg6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h42p0em7Ptg6002jetsMadgraphV1.root,4702,4702,4702,4702,6340.3452,,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h44p0em7Ptg130to6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h44p0em7Ptg130to6002jetsMadgraphV1,0.2035,0.0007447,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h44p0em7Ptg130to6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h44p0em7Ptg130to6002jetsMadgraphV1.root,44948,44948,44948,44948,220.8746929,,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h44p0em7Ptg6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h44p0em7Ptg6002jetsMadgraphV1,0.000751,0.000006906,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h44p0em7Ptg6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h44p0em7Ptg6002jetsMadgraphV1.root,7873,7873,7873,7873,10483.35553,,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h45p0em7Ptg130to6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h45p0em7Ptg130to6002jetsMadgraphV1,0.2023,0.0007533,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h45p0em7Ptg130to6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h45p0em7Ptg130to6002jetsMadgraphV1.root,44528,44528,44528,44528,220.1087494,,,TRUE,TRUE
ZnunugammaaTGCZggh30p0h45p0em7Ptg6002jetsMadgraphV1,ZnunugammaaTGCZggh30p0h45p0em7Ptg6002jetsMadgraphV1,0.0007566,0.000006825,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h45p0em7Ptg6002jetsMadgraphV1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZnunugammaaTGCZggh30p0h45p0em7Ptg6002jetsMadgraphV1.root,8480,8480,8480,8480,11208.03595,,,TRUE,TRUE
